date,gross_ret,cost_ret,gross_leverage,n_long,n_short,portfolio_turnover,net_ret,equity,cum_ret
2025-04-01,0.0,0.0,0.0,0,0,0.0,0.0,1179309.7920659648,0.17930979206596476
2025-04-02,0.0,0.0,0.0,0,0,0.0,0.0,1179309.7920659648,0.17930979206596476
2025-04-03,0.0,0.0,0.0,0,0,0.0,0.0,1179309.7920659648,0.17930979206596476
2025-04-04,0.0,0.0,0.0,0,0,0.0,0.0,1179309.7920659648,0.17930979206596476
2025-04-07,0.0,0.0,0.0,0,0,0.0,0.0,1179309.7920659648,0.17930979206596476
2025-04-08,0.0,0.0,0.0,0,0,0.0,0.0,1179309.7920659648,0.17930979206596476
2025-04-09,0.0,0.0,0.0,0,0,0.0,0.0,1179309.7920659648,0.17930979206596476
2025-04-10,0.0,0.0,0.0,0,0,0.0,0.0,1179309.7920659648,0.17930979206596476
2025-04-11,0.0,0.0,0.0,0,0,0.0,0.0,1179309.7920659648,0.17930979206596476
2025-04-14,0.0,0.0,0.0,0,0,0.0,0.0,1179309.7920659648,0.17930979206596476
2025-04-15,0.0,0.0,0.0,0,0,0.0,0.0,1179309.7920659648,0.17930979206596476
2025-04-16,0.0,0.0,0.0,0,0,0.0,0.0,1179309.7920659648,0.17930979206596476
2025-04-17,0.0,0.0,0.0,0,0,0.0,0.0,1179309.7920659648,0.17930979206596476
2025-04-22,0.0,0.0,0.0,0,0,0.0,0.0,1179309.7920659648,0.17930979206596476
2025-04-23,0.0,0.0,0.0,0,0,0.0,0.0,1179309.7920659648,0.17930979206596476
2025-04-24,0.0,0.0,0.0,0,0,0.0,0.0,1179309.7920659648,0.17930979206596476
2025-04-25,0.0,0.0,0.0,0,0,0.0,0.0,1179309.7920659648,0.17930979206596476
2025-04-28,0.0,0.0,0.0,0,0,0.0,0.0,1179309.7920659648,0.17930979206596476
2025-04-29,0.0,0.0,0.0,0,0,0.0,0.0,1179309.7920659648,0.17930979206596476
2025-04-30,0.0,0.0,0.0,0,0,0.0,0.0,1179309.7920659648,0.17930979206596476
2025-05-02,0.0,0.0,0.0,0,0,0.0,0.0,1179309.7920659648,0.17930979206596476
2025-05-05,0.0,0.0,0.0,0,0,0.0,0.0,1179309.7920659648,0.17930979206596476
2025-05-06,0.0,0.0,0.0,0,0,0.0,0.0,1179309.7920659648,0.17930979206596476
2025-05-07,0.0,0.0,0.0,0,0,0.0,0.0,1179309.7920659648,0.17930979206596476
